,0
0,127.87493896484375
1,129.45596313476562
2,125.0982666015625
3,129.36703491210938
4,130.483642578125
5,127.45001983642578
6,127.27217864990234
7,129.33737182617188
8,127.3808822631836
9,125.63187408447266
10,126.31368255615234
11,130.4638671875
12,135.24644470214844
13,137.4203643798828
14,141.2246856689453
15,141.4618377685547
16,140.37490844726562
17,135.46383666992188
18,130.39471435546875
19,132.548828125
20,133.38876342773438
21,132.35121154785156
22,135.76028442382812
23,135.3396759033203
24,135.48814392089844
25,134.5974884033203
26,133.9839324951172
27,133.72659301757812
28,133.96412658691406
29,131.80677795410156
30,129.4811553955078
31,128.3629150390625
32,128.52125549316406
33,124.69143676757812
34,124.55289459228516
35,124.04818725585938
36,119.73346710205078
37,120.00066375732422
38,126.46285247802734
39,123.8205795288086
40,120.79236602783203
41,118.88240814208984
42,120.15899658203125
43,115.15157318115234
44,119.8324203491211
45,118.73396301269531
46,120.69339752197266
47,119.77305603027344
48,122.70231628417969
49,124.26591491699219
50,123.46432495117188
51,119.27824401855469
52,118.74385833740234
53,122.10855102539062
54,121.26737976074219
55,118.84281158447266
56,119.3376235961914
57,119.95117950439453
58,120.12931823730469
59,118.65479278564453
60,120.88143157958984
61,121.72260284423828
62,124.59248352050781
63,124.89926147460938
64,126.57171630859375
65,129.00616455078125
66,131.61874389648438
67,129.8770294189453
68,133.03387451171875
69,130.65882873535156
70,133.10316467285156
71,132.76670837402344
72,133.43963623046875
73,131.7276153564453
74,132.11354064941406
75,130.56973266601562
76,132.92503356933594
77,133.32089233398438
78,132.99429321289062
79,132.19273376464844
80,132.09375
81,130.09474182128906
82,131.1634979248047
83,126.52222442626953
84,126.76964569091797
85,128.39259338378906
86,129.0766143798828
87,125.745849609375
88,124.81403350830078
89,121.70134735107422
90,123.88220977783203
91,126.34061431884766
92,125.17089080810547
93,123.76323699951172
94,123.60465240478516
95,126.20184326171875
96,124.33820343017578
97,125.99365997314453
98,125.79541015625
99,125.745849609375
100,124.18952178955078
101,123.52533721923828
102,123.19820404052734
103,123.97142028808594
104,122.46465301513672
105,124.79420471191406
106,124.80411529541016
107,125.63680267333984
108,126.02340698242188
109,125.01228332519531
110,126.24148559570312
111,129.34423828125
112,128.5115509033203
113,129.01712036132812
114,130.642822265625
115,129.32444763183594
116,131.14840698242188
117,132.81378173828125
118,132.53622436523438
119,132.24874877929688
120,131.95135498046875
121,133.6068115234375
122,135.143310546875
123,135.76785278320312
124,136.07513427734375
125,138.74172973632812
126,140.78379821777344
127,143.31158447265625
128,141.99319458007812
129,143.846923828125
130,143.24221801757812
131,144.37228393554688
132,147.8517303466797
133,147.18756103515625
134,145.11575317382812
135,141.21006774902344
136,144.87783813476562
137,144.1343536376953
138,145.52218627929688
139,147.26687622070312
140,147.69314575195312
141,145.4924774169922
142,143.718017578125
143,144.37228393554688
144,144.5903778076172
145,144.2533416748047
146,146.07733154296875
147,145.67088317871094
148,145.77992248535156
149,145.08499145507812
150,145.03533935546875
151,144.5488739013672
152,144.8070068359375
153,147.81512451171875
154,148.0236053466797
155,150.02902221679688
156,149.10577392578125
157,145.30340576171875
158,145.6409454345703
159,147.12017822265625
160,148.6292266845703
161,148.53985595703125
162,147.28895568847656
163,146.47488403320312
164,147.5272216796875
165,152.01458740234375
166,150.73391723632812
167,151.4089813232422
168,152.540771484375
169,153.1860809326172
170,155.558837890625
171,153.990234375
172,152.95774841308594
173,147.89456176757812
174,148.47035217285156
175,147.05067443847656
176,147.95411682128906
177,147.71585083007812
178,145.0055694580078
179,141.90809631347656
180,142.39453125
181,144.7970733642578
182,145.77000427246094
183,145.85934448242188
184,144.32054138183594
185,140.88552856445312
186,141.7988739013672
187,140.47848510742188
188,141.62017822265625
189,138.13551330566406
190,140.09129333496094
191,140.97488403320312
192,142.25555419921875
193,141.8683624267578
194,141.7790069580078
195,140.4884033203125
196,139.89273071289062
197,142.72216796875
198,143.79437255859375
199,145.4920196533203
200,147.6860809326172
201,148.18246459960938
202,148.40087890625
203,147.6165771484375
204,147.5669403076172
205,148.2420196533203
206,147.77542114257812
207,151.46856689453125
208,148.71856689453125
209,147.8846435546875
210,148.93698120117188
211,150.3963623046875
212,149.87017822265625
213,150.40707397460938
214,149.57192993164062
215,149.93978881835938
216,147.0664520263672
217,147.01673889160156
218,149.12452697753906
219,149.1344451904297
220,150.12867736816406
221,152.60430908203125
222,156.9590301513672
223,159.62359619140625
224,160.0908660888672
225,160.47862243652344
226,161.00555419921875
227,155.90516662597656
228,159.3153533935547
229,164.34617614746094
230,163.81922912597656
231,162.8150634765625
232,160.9061279296875
233,164.36605834960938
234,170.19223022460938
235,174.0697479248047
236,173.55271911621094
237,178.41452026367188
238,174.72592163085938
239,173.32406616210938
240,178.265380859375
241,171.26600646972656
242,170.15248107910156
243,168.77049255371094
244,171.99179077148438
245,174.62649536132812
246,175.2628173828125
247,179.28944396972656
248,178.25543212890625
249,178.3449249267578
250,177.17173767089844
251,176.54537963867188
